scenario,model_tag,model_kind,link,feature,coef
raw,M2-CondGLMlogit,M2,,num__Team_Batted_First,0.2201075162064618
raw,M2-CondGLMlogit,M2,,num__Bowled_Catch,0.2127554257982329
raw,M2-CondGLMlogit,M2,,num__Economy_Rate,0.2090771997618635
raw,M2-CondGLMlogit,M2,,num__RunOuts,0.1741920863052649
raw,M2-CondGLMlogit,M2,,num__Stumpings,0.1737064457535186
raw,M2-CondGLMlogit,M2,,num__LegByes_Thrown,0.1648088622707985
raw,M2-CondGLMlogit,M2,,num__Catches_Fielder,0.1634345514566172
raw,M2-CondGLMlogit,M2,,num__Runs_Scored,0.1609102483454552
raw,M2-CondGLMlogit,M2,,num__Runs_Conceded,-0.1521903735117463
raw,M2-CondGLMlogit,M2,,num__Balls_Faced,-0.1144837723230229
raw,M2-CondGLMlogit,M2,,num__Wicket_Impact,0.1051484638866555
raw,M2-CondGLMlogit,M2,,num__Batted_Inns1,0.0867961223702198
raw,M2-CondGLMlogit,M2,,num__Legal_Deliveries,-0.0694854656384723
raw,M2-CondGLMlogit,M2,,num__Run_Share,0.0629291587808524
raw,M2-CondGLMlogit,M2,,num__Fours_Hit,-0.0584596322676364
raw,M2-CondGLMlogit,M2,,num__Team_Home,-0.0446025763704448
raw,M2-CondGLMlogit,M2,,num__Team_Total_Extras,0.0404994408262839
raw,M2-CondGLMlogit,M2,,num__Sixes_Hit,-0.0331527164922222
raw,M2-CondGLMlogit,M2,,num__Bowler,-0.0288971320248177
raw,M2-CondGLMlogit,M2,,num__Dot_Balls,0.0160356342757653
raw,M2-CondGLMlogit,M2,,num__Total_Returns,0.0150078145781357
raw,M2-CondGLMlogit,M2,,num__Team_Total_Runs,-0.0137857412677611
raw,M2-CondGLMlogit,M2,,num__Strike_Rate,-0.0048992751617636
raw,M2-CondGLMlogit,M2,,num__NonStriker_Runs,-0.0002218853556366
scaled,M1-EN,M1,,num__Runs_Scored,2.034792690779888
scaled,M1-EN,M1,,num__Team_Won,1.9825223728674493
scaled,M1-EN,M1,,num__Runs_Conceded,-1.701346693121326
scaled,M1-EN,M1,,num__Overs_Bowled,1.6058888902086867
scaled,M1-EN,M1,,num__Run_Share,0.7834839925820516
scaled,M1-EN,M1,,num__Balls_Faced,-0.7221598665816361
scaled,M1-EN,M1,,num__Economy_Rate,0.6087665199356352
scaled,M1-EN,M1,,num__Wickets_Total,0.5577077897451309
scaled,M1-EN,M1,,num__Team_Total_Runs,-0.4227899367962974
scaled,M1-EN,M1,,num__Batter,0.328199170010397
scaled,M1-EN,M1,,num__Strike_Rate,-0.252392315534417
scaled,M1-EN,M1,,num__Wicket_Impact,0.2392078741701346
scaled,M1-EN,M1,,num__Wkts_Bowled,0.2205944114681056
scaled,M1-EN,M1,,num__Dot_Balls,-0.2156196197660223
scaled,M1-EN,M1,,num__Bowled_Catch,0.1552978253385724
scaled,M1-EN,M1,,num__Sixes_Hit,0.1532035153920931
scaled,M1-EN,M1,,num__Team_Total_Extras,0.1434691682359257
scaled,M1-EN,M1,,num__NoBalls_Thrown,-0.126683747690718
scaled,M1-EN,M1,,num__LegByes_Thrown,0.1078441307219669
scaled,M1-EN,M1,,num__Bowler,0.1014793185475683
scaled,M1-EN,M1,,num__Fours_Hit,0.0952756004173939
